estacion,start_date,harvest_date,harvest_steps,dry_yield,fresh_yield,yield_potencial,seasonal_irrigation,type_soil,MinTemp_min,MaxTemp_min,Precipitation_min,ReferenceET_min,MinHmd_min,MaxHmd_min,Radsolar_min,MinTemp_max,MaxTemp_max,Precipitation_max,ReferenceET_max,MinHmd_max,MaxHmd_max,Radsolar_max,MinTemp_mean,MaxTemp_mean,Precipitation_mean,ReferenceET_mean,MinHmd_mean,MaxHmd_mean,Radsolar_mean,MinTemp_last_quarter_min,MaxTemp_last_quarter_min,Precipitation_last_quarter_min,ReferenceET_last_quarter_min,MinHmd_last_quarter_min,MaxHmd_last_quarter_min,Radsolar_last_quarter_min,MinTemp_last_quarter_max,MaxTemp_last_quarter_max,Precipitation_last_quarter_max,ReferenceET_last_quarter_max,MinHmd_last_quarter_max,MaxHmd_last_quarter_max,Radsolar_last_quarter_max,MinTemp_last_quarter_mean,MaxTemp_last_quarter_mean,Precipitation_last_quarter_mean,ReferenceET_last_quarter_mean,MinHmd_last_quarter_mean,MaxHmd_last_quarter_mean,Radsolar_last_quarter_mean
YOT,2021/01/01,2021-11-27,329,30.071084233450076,100.23694744483359,35.363374742985336,1245,SiltClayLoam,15.3,23.7,0.0,1.5,30.0,94.0,143.7,21.2,38.3,74.4,9.3,82.0,100.0,667.5,18.895468277945618,30.288217522658616,3.6247734138972807,5.045619335347432,52.637462235649544,99.63746223564955,449.53897280966765,16.7,26.0,0.0,2.9,34.0,96.0,285.0,20.5,34.3,69.5,8.6,67.0,100.0,667.5,18.670967741935485,30.434408602150544,4.595698924731183,5.291397849462366,51.86021505376344,99.82795698924731,469.5602150537635
MIR,2021/01/01,2021-08-13,223,1.1426308980805742,3.8087696602685805,22.694392846948478,435,Clay,15.2,22.7,0.0,1.3,32.0,99.0,159.7,21.0,33.8,65.6,7.2,84.0,100.0,643.1,18.733777777777778,29.795555555555552,5.845777777777777,4.064,53.01777777777778,99.99111111111111,419.5968888888889,15.2,24.3,0.0,1.6,32.0,99.0,194.7,21.0,33.0,36.8,6.3,75.0,100.0,604.1,18.618279569892472,29.783870967741937,3.0526881720430117,3.9376344086021504,52.41935483870968,99.97849462365592,406.3559139784946
YOT,2021/01/01,2021-11-13,315,1.6373717499987541,5.457905833329181,33.69054457972986,735,Clay,15.3,23.7,0.0,1.5,30.0,94.0,143.7,21.2,38.3,74.4,9.3,82.0,100.0,667.5,18.907570977917985,30.291482649842276,3.5293375394321767,5.044479495268138,52.60883280757098,99.62145110410094,448.9712933753943,16.7,26.0,0.0,2.8,34.0,96.0,275.4,20.5,34.3,69.5,8.6,67.0,100.0,667.5,18.73010752688172,30.309677419354845,4.086021505376344,5.213978494623657,51.946236559139784,99.72043010752688,462.431182795699
BDP,2021/02/25,2021-11-01,248,23.156477636798087,77.18825878932697,25.67925060744387,885,SiltClayLoam,13.7,22.0,0.0,1.5,24.0,95.0,173.0,21.0,35.5,62.1,7.8,86.0,100.0,632.5,18.636,30.389599999999998,4.748,4.581600000000001,52.148,99.888,451.114,13.7,25.8,0.0,2.3,24.0,95.0,263.4,20.2,35.5,36.8,7.8,66.0,100.0,632.5,18.450537634408597,30.726881720430107,3.8225806451612905,4.839784946236559,49.774193548387096,99.80645161290323,463.40430107526873
JAM,2021/03/09,2021-11-01,236,22.046274647844754,73.48758215948251,24.248278867023327,690,SiltClayLoam,13.8,24.0,0.0,1.7,26.0,98.0,173.8,21.3,35.0,77.3,8.2,75.0,100.0,651.9,18.713445378151256,30.15378151260504,6.500840336134454,4.623109243697479,53.794117647058826,99.98319327731092,448.96974789915964,13.8,26.4,0.0,2.5,26.0,98.0,263.3,20.1,35.0,61.2,8.2,69.0,100.0,651.9,18.58064516129032,30.322580645161292,4.770967741935484,4.818279569892474,51.935483870967744,99.96774193548387,459.15268817204304
BDP,2021/02/11,2021-11-01,262,15.238718614374601,50.795728714582005,27.352029161085387,645,SiltClay,13.7,22.0,0.0,1.5,24.0,95.0,173.0,21.0,35.5,70.3,7.8,86.0,100.0,632.5,18.66628787878788,30.39924242424242,4.910606060606061,4.592424242424243,52.04545454545455,99.89393939393939,452.8125,13.7,25.8,0.0,2.3,24.0,95.0,263.4,20.2,35.5,36.8,7.8,66.0,100.0,632.5,18.450537634408597,30.726881720430107,3.8225806451612905,4.839784946236559,49.774193548387096,99.80645161290323,463.40430107526873
FLO,2021/01/01,2021-08-09,219,20.438191323924347,68.12730441308116,22.214200213936458,735,SiltClayLoam,15.5,22.4,0.0,1.5,27.0,75.0,136.5,21.0,35.5,62.6,8.0,84.0,100.0,633.6,18.795927601809954,30.612669683257916,5.229864253393665,4.788235294117646,49.10859728506787,94.94117647058823,401.16742081447956,15.9,24.1,0.0,1.9,27.0,75.0,173.5,21.0,35.5,35.0,8.0,74.0,100.0,595.3,18.708602150537637,31.403225806451612,3.37741935483871,4.644086021505375,47.02150537634409,94.59139784946237,384.06236559139774
MAR,2021/01/01,2021-07-01,180,10.644012668946527,35.480042229821755,17.551753822343475,600,SiltClay,15.3,21.6,0.0,1.0,41.0,97.0,83.5,21.4,34.4,37.2,7.5,87.0,100.0,614.1,19.1021978021978,29.63846153846154,2.8060439560439563,4.800000000000001,55.52197802197802,99.93406593406593,442.3796703296704,15.3,22.6,0.0,1.3,41.0,99.0,130.5,21.4,32.6,37.2,7.3,85.0,100.0,602.0,19.039130434782606,29.52608695652174,3.478260869565218,4.8293478260869565,56.56521739130435,99.98913043478261,444.391304347826
MIR,2021/01/01,2021-12-05,337,1.6592761010054964,5.530920336684988,35.96504877881574,525,Clay,15.2,22.7,0.0,1.3,29.0,99.0,159.7,21.0,34.7,65.6,7.2,84.0,100.0,643.1,18.739233038348083,29.895870206489672,5.591445427728614,4.072861356932155,52.46607669616519,99.99410029498524,418.7147492625368,16.8,26.7,0.0,2.2,29.0,100.0,226.0,20.2,34.7,55.5,7.0,68.0,100.0,605.1,18.707608695652173,30.330434782608698,5.659782608695651,4.248913043478261,50.59782608695652,100.0,427.8673913043478
COR,2021/03/10,2021-10-21,224,20.918748821718815,69.72916273906272,22.814148581003934,510,ClayLoam,15.2,23.8,0.0,1.5,27.0,87.0,166.9,21.2,34.4,87.3,7.4,75.0,100.0,644.8,18.61769911504425,30.283185840707965,5.997787610619469,3.926106194690265,49.296460176991154,98.58407079646018,385.30442477876113,15.5,24.4,0.0,1.6,27.0,87.0,176.1,20.3,34.4,77.2,6.5,72.0,100.0,564.6,18.612903225806452,30.174193548387098,5.2279569892473114,4.005376344086022,47.344086021505376,97.44086021505376,383.55053763440867
